title,abstract_localized.text,abstract_localized.language,abstract_localized.truncated
Dialysis system with artificial intelligence,"Constraining adaptive optimizations of a state of an operation module of a medical device includes determining if a new state has at least one operational parameter that is outside a constraint that has been provided to the medical device in a non-repudiable manner, accepting the new state if no operational parameters are outside any of the constraints, and reverting the medical device to a previous valid state if at least one operational parameter is outside at least one of the constraints. The adaptive optimizations may be provided using artificial intelligence along with relevant inputs thereto. The medical device may be a dialysis system. Constraint data may be provided to the medical device along with a one-way hash value of the constraint data using, for example, a SHA 256 hash. The one-way hash value may be digitally signed using a private key that is part of a public/private key pair.",en,FALSE
,"Constraining adaptive optimizations of a state of an operation module of a medical device includes determining if a new state has at least one operational parameter that is outside a constraint that has been provided to the medical device in a non-repudiable manner, accepting the new state if no operational parameters are outside any of the constraints, and reverting the medical device to a previous valid state if at least one operational parameter is outside at least one of the constraints. The adaptive optimizations may be provided using artificial intelligence along with relevant inputs thereto. The medical device may be a dialysis system. Constraint data may be provided to the medical device along with a one-way hash value of the constraint data using, for example, a SHA 256 hash. The one-way hash value may be digitally signed using a private key that is part of a public/private key pair.",en,FALSE
Method and apparatus for providing information based on artificial intelligence,"The present disclosure provides a method and an apparatus for providing information based on artificial intelligence. The method includes: determining a characteristic of interest of the user according to historical access records of the user; and displaying an information card matched with the characteristic of interest in an information displaying interface, the information card including core contents of news matched with the characteristic of interest determined by analyzing news in a database.",en,FALSE
Method and system for providing artificial intelligence analytic (AIA) services using operator fingerprints and cloud data,"One embodiment of the present invention discloses a process of providing a report predicting potential risks relating to an operator driving a vehicle using information obtained from various interior and exterior sensors, vehicle onboard computer (“VOC”), and cloud network. After activating interior and exterior sensors mounted on a vehicle operated by a driver for obtaining data relating to external surroundings and internal environment, the data is forwarded to VOC for generating a current fingerprint associated with the driver. The current fingerprint represents current driving status in accordance with the collected real-time data. Upon uploading the current fingerprint to the cloud via a communications network, a historical fingerprint which represents historical driving information associated with the driver is retrieved. In one aspect, the process is capable of generating a driving analysis report which predicts potential risks associated with the driver according to the current and historical fingerprints.",en,FALSE
,"One embodiment of the present invention discloses a process of providing a report predicting potential risks relating to an operator driving a vehicle using information obtained from various interior and exterior sensors, vehicle onboard computer (“VOC”), and cloud network. After activating interior and exterior sensors mounted on a vehicle operated by a driver for obtaining data relating to external surroundings and internal environment, the data is forwarded to VOC for generating a current fingerprint associated with the driver. The current fingerprint represents current driving status in accordance with the collected real-time data. Upon uploading the current fingerprint to the cloud via a communications network, a historical fingerprint which represents historical driving information associated with the driver is retrieved. In one aspect, the process is capable of generating a driving analysis report which predicts potential risks associated with the driver according to the current and historical fingerprints.",en,FALSE
Automated vehicle artificial intelligence training based on simulations,"Examples described herein relate to apparatuses and methods for or simulating and improving performance of an artificial intelligence (AI) driver, including but not limited to generating sensor data corresponding to a virtual environment, generating a pixelated image corresponding to the virtual environment based on the sensor data, determining actuator commands responsive to pixels in the pixelated image, wherein the decision module determines the actuator commands based on the AI driver, and simulating behaviors of the ego vehicle object using the actuator commands.",en,FALSE
,"Examples described herein relate to apparatuses and methods for or simulating and improving performance of an artificial intelligence (AI) driver, including but not limited to generating sensor data corresponding to a virtual environment, generating a pixelated image corresponding to the virtual environment based on the sensor data, determining actuator commands responsive to pixels in the pixelated image, wherein the decision module determines the actuator commands based on the AI driver, and simulating behaviors of the ego vehicle object using the actuator commands.",en,FALSE
Method and device for ascertaining the energy input of laser welding using artificial intelligence,A method for training a data-based model to ascertain an energy input of a laser welding machine into a workpiece as a function of operating parameters of the laser welding machine. The training is carried out as a function of an ascertained number of spatters.,en,FALSE
,A method for training a data-based model to ascertain an energy input of a laser welding machine into a workpiece as a function of operating parameters of the laser welding machine. The training is carried out as a function of an ascertained number of spatters.,en,FALSE
"Identification and elimination of micro-organisms in the air, on surfaces and on objects that are stationary or in motion using artificial intelligence and machine learning algorithms.","Identification and elimination of micro-organisms in the air, on surfaces and on objects that are stationary or in motion using artificial intelligence and machine learning algorithms.",en,FALSE
,"Identification and elimination of micro-organisms in the air, on surfaces and on objects that are stationary or in motion using artificial intelligence and machine learning algorithms.",en,FALSE
Method and device for providing notes by using artificial intelligence-based correlation calculation,"Disclosed are a method and device for calculating a correlation between notes using a database constructed on a basis of artificial intelligence, and supporting a service for the notes on a basis of the calculated correlation. A method by which a note providing device that interworks with a user terminal provides notes, includes: constructing a keyword DB by extracting a keyword from a note generated through the user terminal and reflecting a weight calculated through machine learning using the extracted keyword; and calculating a correlation score for each of a plurality of target notes correlated with a reference note using the keyword DB. Therefore, the method and device for providing the notes using the artificial intelligence-based correlation calculation can more accurately recommend the correlated notes by reflecting the interaction of the user.",en,FALSE
,"Disclosed are a method and device for calculating a correlation between notes using a database constructed on a basis of artificial intelligence, and supporting a service for the notes on a basis of the calculated correlation. A method by which a note providing device that interworks with a user terminal provides notes, includes: constructing a keyword DB by extracting a keyword from a note generated through the user terminal and reflecting a weight calculated through machine learning using the extracted keyword; and calculating a correlation score for each of a plurality of target notes correlated with a reference note using the keyword DB. Therefore, the method and device for providing the notes using the artificial intelligence-based correlation calculation can more accurately recommend the correlated notes by reflecting the interaction of the user.",en,FALSE
System and method for economic virtuous cycle simulation based on artificial intelligence twin,"Provided is a system and method for economic virtuous cycle simulation based on an artificial intelligence (AI) twin. The system for economic virtuous cycle simulation based on an AI twin includes an AI twin initial training unit configured to perform initial training on an AI twin model and learn initial parameters using an economic model, an AI twin optimization training unit configured to perform optimization tuning on the initial parameters of the AI twin model using past data collected in an initially trained model, an AI twin generating unit configured to generate an AI twin based on a learning model, and an AI twin operation unit configured to acquire an index for economic prediction to update the AI twin and perform an AI twin-based simulation.",en,FALSE
,"Provided is a system and method for economic virtuous cycle simulation based on an artificial intelligence (AI) twin. The system for economic virtuous cycle simulation based on an AI twin includes an AI twin initial training unit configured to perform initial training on an AI twin model and learn initial parameters using an economic model, an AI twin optimization training unit configured to perform optimization tuning on the initial parameters of the AI twin model using past data collected in an initially trained model, an AI twin generating unit configured to generate an AI twin based on a learning model, and an AI twin operation unit configured to acquire an index for economic prediction to update the AI twin and perform an AI twin-based simulation.",en,FALSE
System for predicting user drop-out rate based on artificial intelligence learning and method therefor,"The present invention relates to a user knowledge tracking method with more improved accuracy. An operation method of a user drop-out rate prediction system including a plurality of encoder neural networks and a plurality of decoder neural networks may include the steps of: inputting question information to a kth encoder neural network and inputting response information to a kth decoder neural network; generating query data, which is information about a question of which the correct answer probability is desired to be identified by the user, by reflecting a weight to the response information, and generating attention information to be used as a weight for the query data by reflecting a weight to the question information; and learning the user drop-out rate prediction system using the attention information as a weight for the query data.",en,FALSE
,"The present invention relates to a user knowledge tracking method with more improved accuracy. An operation method of a user drop-out rate prediction system including a plurality of encoder neural networks and a plurality of decoder neural networks may include the steps of: inputting question information to a k th  encoder neural network and inputting response information to a k th  decoder neural network; generating query data, which is information about a question of which the correct answer probability is desired to be identified by the user, by reflecting a weight to the response information, and generating attention information to be used as a weight for the query data by reflecting a weight to the question information; and learning the user drop-out rate prediction system using the attention information as a weight for the query data.",en,FALSE
Implementing big data and artificial intelligence to determine likelihood of post-acceptance facility or service renunciation,"Big data searches, statistical computation and artificial intelligence are leveraged to determine the likelihood that a user will renounce a facility or service post-acceptance. Specifically, the present invention relies on facility/service data and/or user data to key a plurality of data mining searches of big data sources. In response to extracted responsive data from the big data sources, the present invention implements statistical computing along with machine learning/Artificial Intelligence techniques to determine a go/no-go indicator that indicates either (i) the user is unlikely to renounce (i.e., abandon, fail to use and/or return) the facility or service post-acceptance/acquisition, or (ii) the user is likely to renounce the facility/service.",en,FALSE
,"Big data searches, statistical computation and artificial intelligence are leveraged to determine the likelihood that a user will renounce a facility or service post-acceptance. Specifically, the present invention relies on facility/service data and/or user data to key a plurality of data mining searches of big data sources. In response to extracted responsive data from the big data sources, the present invention implements statistical computing along with machine learning/Artificial Intelligence techniques to determine a go/no-go indicator that indicates either (i) the user is unlikely to renounce (i.e., abandon, fail to use and/or return) the facility or service post-acceptance/acquisition, or (ii) the user is likely to renounce the facility/service.",en,FALSE
Copy data in a memory system with artificial intelligence mode,"The present disclosure includes apparatuses and methods related to copying data in a memory system with an artificial intelligence (AI) mode. An apparatus can receive a command indicating that the apparatus operate in an artificial intelligence (AI) mode, a command to perform AI operations using an AI accelerator based on a status of a number of registers, and a command to copy data between memory devices that are performing AI operations. The memory system can copy neural network data, activation function data, bias data, input data, and/or output data from a first memory device to a second memory device, such that that the first memory device can use the neural network data, activation function data, bias data, input data, and/or output data in a first AI operation and the second memory device can use the neural network data, activation function data, bias data, input data, and/or output data in a second AI operation.",en,FALSE
,"The present disclosure includes apparatuses and methods related to copying data in a memory system with an artificial intelligence (AI) mode. An apparatus can receive a command indicating that the apparatus operate in an artificial intelligence (AI) mode, a command to perform AI operations using an AI accelerator based on a status of a number of registers, and a command to copy data between memory devices that are performing AI operations. The memory system can copy neural network data, activation function data, bias data, input data, and/or output data from a first memory device to a second memory device, such that that the first memory device can use the neural network data, activation function data, bias data, input data, and/or output data in a first AI operation and the second memory device can use the neural network data, activation function data, bias data, input data, and/or output data in a second AI operation.",en,FALSE
Method and system for training artificial intelligence model for estimation of glycolytic hemoglobin levels,"A method of training an artificial intelligence model for estimating a hemoglobin A1c (HbA1c) level includes collecting patient information including exercise information and bioinformation of a patient, collecting an actual HbA1c level of the patient, converting the collected patient information and actual HbA1c level into a single standardized data structure format, and training an artificial intelligence model using the converted patient information and actual HbA1c level to generate an artificial intelligence model for estimating an HbA1c level. The bioinformation includes at least one of a blood sugar level, a blood pressure, a heart rate, and a menstrual cycle, and the exercise information is generated on the basis of patient life log data acquired by a patient terminal.",en,FALSE
,"A method of training an artificial intelligence model for estimating a hemoglobin A1c (HbA1c) level includes collecting patient information including exercise information and bioinformation of a patient, collecting an actual HbA1c level of the patient, converting the collected patient information and actual HbA1c level into a single standardized data structure format, and training an artificial intelligence model using the converted patient information and actual HbA1c level to generate an artificial intelligence model for estimating an HbA1c level. The bioinformation includes at least one of a blood sugar level, a blood pressure, a heart rate, and a menstrual cycle, and the exercise information is generated on the basis of patient life log data acquired by a patient terminal.",en,FALSE
Probabilistic methods and systems for resolving anonymous user identities based on artificial intelligence,"Embodiments provide probabilistic methods, and systems for resolving user identity using artificial intelligence. The method performed by a processor includes receiving user interaction data associated with a user of a business interface. The method includes extracting user attributes from the user interaction data. The method includes determining candidate user profiles associated with a predefined location. The method includes predicting a likelihood of the user interaction data to be associated with a candidate user profile by performing steps: (1) applying machine learning models on each of the candidate user profiles to determine a matching probability score with the user interaction data; (2) identifying candidate user profile associated with matching probability score greater than a predefined threshold. The method also includes merging the user attributes from the user interaction data with the candidate user profile for generating a user profile. The method further includes assigning a user identifier for the user profile.",en,FALSE
,"Embodiments provide probabilistic methods, and systems for resolving user identity using artificial intelligence. The method performed by a processor includes receiving user interaction data associated with a user of a business interface. The method includes extracting user attributes from the user interaction data. The method includes determining candidate user profiles associated with a predefined location. The method includes predicting a likelihood of the user interaction data to be associated with a candidate user profile by performing steps: (1) applying machine learning models on each of the candidate user profiles to determine a matching probability score with the user interaction data; (2) identifying candidate user profile associated with matching probability score greater than a predefined threshold. The method also includes merging the user attributes from the user interaction data with the candidate user profile for generating a user profile. The method further includes assigning a user identifier for the user profile.",en,FALSE
Duration based task monitoring of artificial intelligence voice response systems,"A method, computer system, and a computer program product for task monitoring is provided. The present invention may include training an AI voice response system based on task performance data, wherein the task performance data originates from at least one monitoring device. The present invention may include receiving a request for instructions to complete a task from a user. The present invention may include monitoring a performance of the task by the user, wherein the performance of the task by the user is monitored utilizing at least one monitoring device. The present invention may include determining differences between the performance of the task by the user and a task sequence.",en,FALSE
,"A method, computer system, and a computer program product for task monitoring is provided. The present invention may include training an AI voice response system based on task performance data, wherein the task performance data originates from at least one monitoring device. The present invention may include receiving a request for instructions to complete a task from a user. The present invention may include monitoring a performance of the task by the user, wherein the performance of the task by the user is monitored utilizing at least one monitoring device. The present invention may include determining differences between the performance of the task by the user and a task sequence.",en,FALSE
Federated artificial intelligence with cumulative learning in a computer network,"In one embodiment, a first deep fusion reasoning engine (DFRE) agent in a network receives first sensor data from a first set of one or more sensors in the network. The first DFRE agent translates the first sensor data into symbolic data. The first DFRE agent applies, using a symbolic knowledge base maintained by the first DFRE agent, symbolic reasoning to the symbolic data to make an inference regarding the first sensor data. The first DFRE agent updates, based on the inference regarding the first sensor data, the knowledge base. The first DFRE agent propagates the inference to one or more other DFRE agents in the network.",en,FALSE
,"In one embodiment, a first deep fusion reasoning engine (DFRE) agent in a network receives first sensor data from a first set of one or more sensors in the network. The first DFRE agent translates the first sensor data into symbolic data. The first DFRE agent applies, using a symbolic knowledge base maintained by the first DFRE agent, symbolic reasoning to the symbolic data to make an inference regarding the first sensor data. The first DFRE agent updates, based on the inference regarding the first sensor data, the knowledge base. The first DFRE agent propagates the inference to one or more other DFRE agents in the network.",en,FALSE
Utilizing artificial intelligence to detect objects or patient safety events in a patient room,Methods and systems are provided for detecting objects or patient safety events in a patient room. Artificial intelligence is utilized to enhance safety issue recognition capabilities by the methods and systems. Sensors collect a series of images and depth data in a room of a patient. Data (corresponding to images and depth data of an object or patient safety event) is received from the sensors and compared to stored data to identify the object or patient safety event. The images are communicated to a central video monitoring system and a user may be prompted to confirm if the object requires learning or a patient safety event occurred (or identify the object or patient safety event) or to provide additional parameters or actions. A patient safety learning system analyzes the data and incorporates the user response to enhance safety issue recognition capabilities of the system and reduce false alerts.,en,FALSE
,Methods and systems are provided for detecting objects or patient safety events in a patient room. Artificial intelligence is utilized to enhance safety issue recognition capabilities by the methods and systems. Sensors collect a series of images and depth data in a room of a patient. Data (corresponding to images and depth data of an object or patient safety event) is received from the sensors and compared to stored data to identify the object or patient safety event. The images are communicated to a central video monitoring system and a user may be prompted to confirm if the object requires learning or a patient safety event occurred (or identify the object or patient safety event) or to provide additional parameters or actions. A patient safety learning system analyzes the data and incorporates the user response to enhance safety issue recognition capabilities of the system and reduce false alerts.,en,FALSE
Adaptive artificial intelligence system for identifying behaviors associated with mental illness and modifying treatment plans based on emergent recognition of aberrant reactions,"One or more embodiments described herein relate to predicting, using adaptive artificial intelligence techniques, typical and aberrant physiological reactions of a patient to psychiatric counseling. Treatment plans can be determined and calculated based on previously-gathered demographic and/or biometric data, and/or modifications to treatment plans can be determined and/or implemented based on emergent recognition of reaction types, such as reclassifying reactions that would previously have been deemed typical as aberrant (or vice versa).",en,FALSE
,"One or more embodiments described herein relate to predicting, using adaptive artificial intelligence techniques, typical and aberrant physiological reactions of a patient to psychiatric counseling. Treatment plans can be determined and calculated based on previously-gathered demographic and/or biometric data, and/or modifications to treatment plans can be determined and/or implemented based on emergent recognition of reaction types, such as reclassifying reactions that would previously have been deemed typical as aberrant (or vice versa).",en,FALSE
Apparatus and methods for generating context-aware artificial intelligence characters,"Example apparatus and methods for generating context-aware artificial intelligence characters are disclosed. An example apparatus to animate an artificial intelligence character includes a data tagger to tag data in a media data stream to generate a plurality of data files of tagged data, the data files corresponding to different time periods in a storyline, the tagged data associated with a first character in the media data stream, the artificial intelligence character to portray the first character. The example apparatus includes a trainer to generate a response model of the first character based on the data file corresponding to a current data time period and one or more data files corresponding to one or more earlier time periods of the storyline and a response generator to apply the response model based on a stimulus input to animate the artificial intelligence character.",en,FALSE
,"Example apparatus and methods for generating context-aware artificial intelligence characters are disclosed. An example apparatus to animate an artificial intelligence character includes a data tagger to tag data in a media data stream to generate a plurality of data files of tagged data, the data files corresponding to different time periods in a storyline, the tagged data associated with a first character in the media data stream, the artificial intelligence character to portray the first character. The example apparatus includes a trainer to generate a response model of the first character based on the data file corresponding to a current data time period and one or more data files corresponding to one or more earlier time periods of the storyline and a response generator to apply the response model based on a stimulus input to animate the artificial intelligence character.",en,FALSE
Automatic recognition and classification method for electrocardiogram heartbeat based on artificial intelligence,"An automatic recognition and classification method for electrocardiogram heartbeat based on artificial intelligence, comprising: processing a received original electrocardiogram digital signal to obtain heartbeat time sequence data and lead heartbeat data; cutting the lead heartbeat data according to the heartbeat time sequence data to generate lead heartbeat analysis data; performing data combination on the lead heartbeat analysis data to obtain a one-dimensional heartbeat analysis array; performing data dimension amplification and conversion according to the one-dimensional heartbeat analysis array to obtain four-dimensional tensor data; and inputting the four-dimensional tensor data to a trained LepuEcgCatNet heartbeat classification model, to obtain heartbeat classification information. The method overcomes the defect that the conventional method only depends on single lead independent analysis for result summary statistics and thus classification errors are more easily obtained, and the accuracy of the electrocardiogram heartbeat classification is greatly improved.",en,FALSE
,"An automatic recognition and classification method for electrocardiogram heartbeat based on artificial intelligence, comprising: processing a received original electrocardiogram digital signal to obtain heartbeat time sequence data and lead heartbeat data; cutting the lead heartbeat data according to the heartbeat time sequence data to generate lead heartbeat analysis data; performing data combination on the lead heartbeat analysis data to obtain a one-dimensional heartbeat analysis array; performing data dimension amplification and conversion according to the one-dimensional heartbeat analysis array to obtain four-dimensional tensor data; and inputting the four-dimensional tensor data to a trained LepuEcgCatNet heartbeat classification model, to obtain heartbeat classification information. The method overcomes the defect that the conventional method only depends on single lead independent analysis for result summary statistics and thus classification errors are more easily obtained, and the accuracy of the electrocardiogram heartbeat classification is greatly improved.",en,FALSE
Memory with artificial intelligence mode,"An apparatus can include a number of registers configured to enable the apparatus to operate in an artificial intelligence mode to perform artificial intelligence operations and an artificial intelligence (AI) accelerator configured to perform the artificial intelligence operations using the data stored in the number of memory arrays. The AI accelerator can include hardware, software, and or firmware that is configured to perform operations associated with AI operations. The hardware can include circuitry configured as an adder and/or multiplier to perform operations, such as logic operations, associated with AI operations.",en,FALSE
,"An apparatus can include a number of registers configured to enable the apparatus to operate in an artificial intelligence mode to perform artificial intelligence operations and an artificial intelligence (AI) accelerator configured to perform the artificial intelligence operations using the data stored in the number of memory arrays. The AI accelerator can include hardware, software, and or firmware that is configured to perform operations associated with AI operations. The hardware can include circuitry configured as an adder and/or multiplier to perform operations, such as logic operations, associated with AI operations.",en,FALSE
Method and device for processing speech based on artificial intelligence,"The present disclosure provides a method and a device for processing a speech based on artificial intelligence. The method includes: grading a current frame included in a speech packet to be decoded by using an acoustic model to obtain a grading result; identifying whether the current frame is a quasi-silent frame according the grading result; and skipping the current frame and not decoding the current frame if the current frame is the quasi-silent frame. In the present disclosure, before the current frame included in the speech pocket to be decoded is decoded, it is identified whether to decode the current frame according to the grading result obtained with the acoustic model. When there is no need to decode the current frame, the current frame is skipped. Thus, a redundancy decoding may be avoided, a speed of decoding is improved and recognition of the speech packet to be decoded is expedited.",en,FALSE
,"The present disclosure provides a method and a device for processing a speech based on artificial intelligence. The method includes: grading a current frame included in a speech packet to be decoded by using an acoustic model to obtain a grading result; identifying whether the current frame is a quasi-silent frame according the grading result; and skipping the current frame and not decoding the current frame if the current frame is the quasi-silent frame. In the present disclosure, before the current frame included in the speech pocket to be decoded is decoded, it is identified whether to decode the current frame according to the grading result obtained with the acoustic model. When there is no need to decode the current frame, the current frame is skipped. Thus, a redundancy decoding may be avoided, a speed of decoding is improved and recognition of the speech packet to be decoded is expedited.",en,FALSE
Chaotic system anomaly response by artificial intelligence,"A system for detecting and responding to an anomaly in a chaotic environment, comprising one or more autonomous agent devices and a central server comprising a processor and non-transitory memory. The memory stores instructions that cause the processor to receive a first set of sensor readings from one or more remote electronic sensors, during a first time window, the sensor readings recording pseudo-Brownian change in one or more variables in the chaotic environment; determine, based on the first set of sensor readings, an expected range of the one or more variables during a second time window after the first time w window; receive a second set of sensor readings from the one or more remote electronic sensors during the second time window recording change in the one or more variables: determine, based on the second set of sensor readings, that one variable of the one or more variables is not within the expected range; and cause the one or more autonomous agent devices to attempt to mitigate a potential harm indicated by the one variable being outside of the expected range.",en,FALSE
,"A system for detecting and responding to an anomaly in a chaotic environment, comprising one or more autonomous agent devices and a central server comprising a processor and non-transitory memory. The memory stores instructions that cause the processor to receive a first set of sensor readings from one or more remote electronic sensors, during a first time window, the sensor readings recording pseudo-Brownian change in one or more variables in the chaotic environment; determine, based on the first set of sensor readings, an expected range of the one or more variables during a second time window after the first time w window; receive a second set of sensor readings from the one or more remote electronic sensors during the second time window recording change in the one or more variables: determine, based on the second set of sensor readings, that one variable of the one or more variables is not within the expected range; and cause the one or more autonomous agent devices to attempt to mitigate a potential harm indicated by the one variable being outside of the expected range.",en,FALSE
Methods for performing input-output operations in a storage system using artificial intelligence and devices thereof,The present technology relates to identifying one of a plurality of artificial intelligence models based on a received key value. The received key value is applied to the identified one of the artificial intelligence models which is trained to output one of a plurality of actual index values. The one of the actual index values is compared to a range within the actual index values to determine when the one of the actual index value points to the data block. A received input-output operation is performed on the data block when the one of the actual index values is determined to point to the data block.,en,FALSE
,The present technology relates to identifying one of a plurality of artificial intelligence models based on a received key value. The received key value is applied to the identified one of the artificial intelligence models which is trained to output one of a plurality of actual index values. The one of the actual index values is compared to a range within the actual index values to determine when the one of the actual index value points to the data block. A received input-output operation is performed on the data block when the one of the actual index values is determined to point to the data block.,en,FALSE
Method and apparatus for adaptive artificial intelligence downscaling for upscaling during video telephone call,"Provided is a method of adaptively performing artificial intelligence (AI) downscaling on an image during a video telephone call of a user terminal. The method includes obtaining, from an opposite user terminal, AI upscaling support information of the opposite user terminal that is a target of a video telephone call, determining whether the user terminal is to perform AI downscaling on an original image, based on the AI upscaling support information, based on determining that the user terminal is to perform AI downscaling on the original image, obtaining a first image by AI downscaling the original image using a downscaling deep neural network (DNN), generating image data by performing first encoding on the first image, and transmitting AI data including information related to the AI downscaling and the image data.",en,FALSE
,"Provided is a method of adaptively performing artificial intelligence (AI) downscaling on an image during a video telephone call of a user terminal. The method includes obtaining, from an opposite user terminal, AI upscaling support information of the opposite user terminal that is a target of a video telephone call, determining whether the user terminal is to perform AI downscaling on an original image, based on the AI upscaling support information, based on determining that the user terminal is to perform AI downscaling on the original image, obtaining a first image by AI downscaling the original image using a downscaling deep neural network (DNN), generating image data by performing first encoding on the first image, and transmitting AI data including information related to the AI downscaling and the image data.",en,FALSE
Method and apparatus for detecting manipulation of a technical device in a motor vehicle utilizing methods of artificial intelligence,"A method for detecting manipulation of a technical device, particularly a technical device in a motor vehicle, especially an exhaust-gas treatment device. The method includes: providing a time series of an input vector having one or more system variables and having at least one manipulated variable for an intervention in the technical device; utilizing a data-based manipulation detection model which includes a recurrent neural network that is designed to determine a state vector as a function of the input vector, and an autoencoder which is designed to determine a reconstructed vector as a function of the state vector, detecting an anomaly as a function of a reconstruction error, which is a function of the reconstructed vector; and detecting a manipulation as a function of the reconstruction error.",en,FALSE
,"A method for detecting manipulation of a technical device, particularly a technical device in a motor vehicle, especially an exhaust-gas treatment device. The method includes: providing a time series of an input vector having one or more system variables and having at least one manipulated variable for an intervention in the technical device; utilizing a data-based manipulation detection model which includes a recurrent neural network that is designed to determine a state vector as a function of the input vector, and an autoencoder which is designed to determine a reconstructed vector as a function of the state vector, detecting an anomaly as a function of a reconstruction error, which is a function of the reconstructed vector; and detecting a manipulation as a function of the reconstruction error.",en,FALSE
Method for automatically updating unit cost of inspection by using comparison between inspection time and work time of crowdsourcing-based project for generating artificial intelligence training data,Provided is a method for automatically updating the unit cost of inspection by using a comparison between inspection time and work time of a crowdsourcing-based project for generating artificial intelligence training data. The method comprises the steps of: determining the unit cost of work and the unit cost of inspection of a new crowdsourcing-based project; opening the new crowdsourcing-based project by applying the unit cost of work and the unit cost of inspection; measuring work time and inspection time for each work datum during a predetermined period; calculating the ratio of the inspection time to the work time for each work datum; calculating the average value of the ratio of the inspection time to the work time calculated for each work datum; and automatically updating the unit cost of inspection by using the unit cost of work and the calculated average value.,en,FALSE
,Provided is a method for automatically updating the unit cost of inspection by using a comparison between inspection time and work time of a crowdsourcing-based project for generating artificial intelligence training data. The method comprises the steps of: determining the unit cost of work and the unit cost of inspection of a new crowdsourcing-based project; opening the new crowdsourcing-based project by applying the unit cost of work and the unit cost of inspection; measuring work time and inspection time for each work datum during a predetermined period; calculating the ratio of the inspection time to the work time for each work datum; calculating the average value of the ratio of the inspection time to the work time calculated for each work datum; and automatically updating the unit cost of inspection by using the unit cost of work and the calculated average value.,en,FALSE
"Parallel conveyor belts, direct wireless charging systems utilizing artificial intelligence and machine learning","This new application collects data from indoor and outdoor environments and with that data compiles databases, analyzes that data and finds relationships between pollutants, microbes, matter and diseases in humans, plants and animals. This new application is called the Artificial Intelligence Doctor. The application utilizes artificial intelligence, machine learning and parallel conveyor belts with imbedded microscope slides for the identification and analysis of microbes and matter. The application identifies microbes and matter using static electricity applied to microscope slides imbedded in conveyor belts using light microscopes, electron microscopes, polarized light microscopes, x ray machines, artificial intelligence and machine learning algorithms. The easy transfer conveyor belt system utilizes migration of microbes and microbes from drones and robots for easier identification.",en,FALSE
,"This new application collects data from indoor and outdoor environments and with that data compiles databases, analyzes that data and finds relationships between pollutants, microbes, matter and diseases in humans, plants and animals. This new application is called the Artificial Intelligence Doctor. The application utilizes artificial intelligence, machine learning and parallel conveyor belts with imbedded microscope slides for the identification and analysis of microbes and matter. The application identifies microbes and matter using static electricity applied to microscope slides imbedded in conveyor belts using light microscopes, electron microscopes, polarized light microscopes, x ray machines, artificial intelligence and machine learning algorithms. The easy transfer conveyor belt system utilizes migration of microbes and microbes from drones and robots for easier identification.",en,FALSE
Artificial intelligence apparatus for generating training data for artificial intelligence model and method thereof,"An embodiment of the present disclosure provides an artificial intelligence apparatus for generating training data including a memory configured to store an artificial intelligence model, an input interface including a microphone or a camera, and a processor configured to receive, via the input interface, input data, generate an inference result corresponding to the input data by using the artificial intelligence model, receive feedback corresponding to the inference result, determine suitability of the input data and the feedback for updating the artificial intelligence model, and generate training data based on the input data and the feedback if the input data and the feedback are determined as data suitable for updating of the artificial intelligence model.",en,FALSE
